2023.11.11 11:25;2023.11.11 14:55;Operációs rendszerek (GINFBAL-OPERREND-1) - L-K-GINFBAL-OPERREND-1-KZ01 - Koszna Ferenc - Órarend;GAMF/1-es Fõépület/411
2023.11.11 7:45;2023.11.11 11:15;Haladó programozás (GINFBAL-HALAPROG-1) - L-K-GINFBAL-HALAPROG-1-EA01 - Cserkó József - Órarend;GAMF/4-es épület/311
2023.11.04 11:25;2023.11.04 18:35;Haladó programozás (GINFBAL-HALAPROG-1) - L-K-GINFBAL-HALAPROG-1-LA02 - Cserkó József - Órarend;GAMF/4-es épület/9
2023.10.14 7:45;2023.10.14 13:05;Hálózati adminisztráció I. (GINFBAL-HALOADM1-1) - L-K-GINFBAL-HALOADM1-1-KZ01 - Göcs László - Órarend;GAMF/4-es épület/9
2023.11.18 9:35;2023.11.18 11:15;Hálózati adminisztráció I. (GINFBAL-HALOADM1-1) - L-K-GINFBAL-HALOADM1-1-KZ01 - Göcs László - Órarend;GAMF/4-es épület/9
2023.11.25 13:15;2023.11.25 14:55;Hálózati adminisztráció I. (GINFBAL-HALOADM1-1) - L-K-GINFBAL-HALOADM1-1-KZ01 - Göcs László - Órarend;GAMF/4-es épület/9
2023.10.07 16:55;2023.10.07 18:35;Hálózati adminisztráció I. (GINFBAL-HALOADM1-1) - L-K-GINFBAL-HALOADM1-1-KZ01 - Göcs László - Órarend;GAMF/4-es épület/9
2023.10.07 11:25;2023.10.07 14:55;Szoftvertechnológia (GINFBAL-SZOFTTEC-1) - L-K-GINFBAL-SZOFTTEC-1-LA02 - Tóth László - Órarend;GAMF/4-es épület/7
2023.09.30 7:03;2023.10.14 23:59;Valószínûségszámítás és statisztika (GINFBAL-VALOSTAT-1) - Feladat - Határidõ: 23:59:00;
2023.10.15 0:00;2023.10.15 0:10;Valószínûségszámítás és statisztika (GINFBAL-VALOSTAT-1) - Feladat - Határidõ: 0:10:00;
